nname,mins,club_yc90,club_g90,club_a90
rayane bounida,1109,0.3246,0.1623,0.7304
raymond owusu,1659,0.3255,0.1085,0.217
rayyan baniya,1189,0.2271,0.0,0.0
raz shlomo,679,0.1325,0.0,0.1325
razhab magomedov,2304,0.0391,0.0781,0.1172
razvan marin,4662,0.1931,0.1351,0.251
razvan sava,2419,0.0744,0.0,0.0
rdvan ylmaz,4991,0.1443,0.018,0.0721
reda belahyane,2579,0.2443,0.0,0.1396
reda khadra,1342,0.0671,0.0671,0.2012
redouan el yaakoubi,1564,0.0,0.0,0.0
redouane halhal,2039,0.309,0.0441,0.0883
reece burke,1321,0.3407,0.0,0.2044
reece james,4093,0.1539,0.088,0.2199
regan charles cook,1390,0.1295,0.0,0.0647
regis n'do,798,0.7895,0.1128,0.0
rein van helden,4888,0.2025,0.0368,0.0184
reinier,659,0.2731,0.1366,0.0
reinildo mandava,4572,0.3543,0.0394,0.0591
reiss nelson,1044,0.0862,0.1724,0.2586
remi oudin,1494,0.1807,0.0602,0.1205
remko pasveer,5484,0.0,0.0,0.0164
remo freuler,8904,0.2022,0.0303,0.0505
remy cabella,3226,0.1116,0.1674,0.1953
remy descamps,1080,0.0,0.0,0.0
remy labeau lascary,1875,0.336,0.336,0.096
renaldo cephas,1987,0.2718,0.0453,0.2265
renan lodi,453,0.3974,0.0,0.0
renan ribeiro,2970,0.1515,0.0,0.0
renat dadashov,528,0.5114,0.3409,0.0
renat golybin,527,0.3416,0.0,0.0
renato junior,1414,0.3819,0.2546,0.1909
renato nhaga,1369,0.3287,0.1972,0.0
renato pantalon,2166,0.1662,0.0416,0.0
renato sanches,1696,0.2653,0.1061,0.0531
renato steffen,597,0.3015,0.4523,0.3015
renato tapia,3486,0.2582,0.0258,0.0
renato veiga,4994,0.2163,0.018,0.018
rene joensen,484,0.186,0.186,0.0
reo hatate,6198,0.1452,0.2323,0.1888
reuven niemeijer,1470,0.1224,0.1224,0.1224
rey manaj,3914,0.3909,0.5519,0.184
reziuan mirzov,1212,0.3713,0.2228,0.0743
rhaldney,2082,0.2161,0.0865,0.0432
ricard sanchez,3005,0.3894,0.0899,0.1198
ricardinho,1345,0.3346,0.4684,0.0
ricardo batista,1841,0.0489,0.0,0.0
ricardo esgaio,3698,0.146,0.0,0.0487
ricardo horta,9332,0.0964,0.3375,0.2122
ricardo mangas,3876,0.1858,0.2322,0.1161
ricardo pepi,3067,0.0587,1.1444,0.1761
ricardo pereira,475,0.1895,0.0,0.0
ricardo rodriguez,5328,0.1014,0.0169,0.0676
ricardo velho,6120,0.0294,0.0,0.0
ricardo visus,2146,0.2097,0.0419,0.0
riccardo calafiori,4851,0.2968,0.1113,0.1855
riccardo orsolini,6486,0.111,0.5134,0.0971
riccardo sottil,2931,0.0921,0.1535,0.1842
riccieli,1552,0.232,0.058,0.0
richard,4258,0.3382,0.0423,0.1057
richard jensen,1444,0.1247,0.0623,0.0
richard king,1987,0.4076,0.0453,0.0
richard ledezma,2545,0.2122,0.0354,0.0354
richard rios,3931,0.3663,0.1374,0.1832
richard taylor,3215,0.168,0.028,0.028
richard van der venne,762,0.3543,0.4724,0.1181
richarlison,4272,0.2528,0.4635,0.1685
richie sagrado,926,0.1944,0.0,0.0
richonell margaret,4652,0.0967,0.2128,0.2128
rick karsdorp,2068,0.2176,0.0,0.1741
rick meissen,4172,0.1079,0.0,0.0647
rick van drongelen,7151,0.2643,0.0881,0.0252
ricky van wolfswinkel,5962,0.151,0.4378,0.0604
rico henry,1913,0.0941,0.0,0.0
rico lewis,4720,0.1525,0.0953,0.1525
ridgeciano haps,1586,0.1702,0.0567,0.1135
ridle baku,6751,0.1333,0.0933,0.1333
riechedly bazoer,4337,0.3528,0.0415,0.0623
rifat zhemaletdinov,1957,0.092,0.2299,0.2299
rigoberto rivas,3677,0.1958,0.1224,0.1224
rihito yamamoto,3767,0.1672,0.1195,0.1672
ringo meerveld,5699,0.0474,0.1737,0.1105
rio hillen,2005,0.404,0.0,0.0449
rio ngumoha,1024,0.0,0.1758,0.0879
risto radunovic,1035,0.087,0.087,0.1739
ritsu doan,7661,0.1175,0.2702,0.2115
rivaldo,451,0.0,0.0,0.1996
riyad idrissi,950,0.2842,0.1895,0.0947
rizvan utsiev,1325,0.0679,0.0,0.1358
rjan nyland,5014,0.0718,0.0,0.0
ro zangelo daal,1980,0.2727,0.0909,0.0
rob nizet,1067,0.253,0.0,0.0
rob schoofs,5042,0.1607,0.1607,0.2142
robbie deas,5447,0.2809,0.033,0.033
robbie muirhead,1436,0.4387,0.2507,0.1253
robby mccrorie,2569,0.035,0.0,0.0
rober gonzalez,2167,0.1246,0.2907,0.1246
robert,2282,0.1183,0.355,0.2366
robert andrich,7852,0.2751,0.1261,0.0802
robert bozenik,4237,0.1912,0.1699,0.0425
robert glatzel,712,0.0,0.5056,0.2528
robert ivanov,1476,0.3659,0.061,0.0
robert jan vanwesemael,4001,0.2924,0.045,0.045
robert lewandowski,8551,0.0842,0.821,0.1158
robert ljubicic,2859,0.2518,0.2833,0.2204
robert mejia,1694,0.3188,0.0,0.0
robert muhren,1585,0.0,0.5678,0.1703
robert navarro,5005,0.0719,0.1798,0.0539
robert sanchez,8096,0.1,0.0,0.0111
robert skov,1639,0.0549,0.1647,0.1647
robert wagner,565,0.1593,0.0,0.0
roberto fernandez,15106,0.1847,0.1192,0.0775
roberto gagliardini,3245,0.3606,0.0277,0.0277
roberto lopez,655,0.0,0.0,0.1374
roberto pereyra,2852,0.2525,0.0947,0.0631
roberto piccoli,5988,0.1503,0.3006,0.0601
roberts savalnieks,690,0.0,0.0,0.2609
roberts uldrikis,766,0.235,0.1175,0.0
robin fellhauer,2944,0.0611,0.0917,0.0917
robin gosens,6160,0.2338,0.1607,0.1899
robin hack,3703,0.1458,0.4375,0.1944
robin hranac,3002,0.1799,0.03,0.03
robin knoche,876,0.1027,0.1027,0.0
robin koch,8996,0.1301,0.07,0.05
robin le normand,7760,0.3479,0.058,0.0232
robin maulun,659,0.1366,0.0,0.1366
robin mirisola,990,0.1818,0.2727,0.2727
robin olsen,1440,0.0625,0.0,0.0
robin propper,6336,0.2557,0.0568,0.0
robin risser,2970,0.0606,0.0,0.0303
robin roefs,6510,0.0553,0.0,0.0
robin strm,4769,0.0377,0.0,0.0377
robin van cruijsen,1420,0.3169,0.2535,0.1901
robin yalcn,2647,0.34,0.034,0.034
robin zentner,5947,0.1059,0.0,0.0
robinho,931,0.4834,0.0,0.0967
robinio vaz,790,0.3418,0.5696,0.5696
robson bambu,2319,0.3105,0.0388,0.0
rocco reitz,5855,0.1537,0.0615,0.123
rochinha,1087,0.414,0.0,0.0828
rocky bushiri,5756,0.2033,0.1407,0.0313
rodinei,6124,0.147,0.0882,0.2645
rodri,4801,0.1687,0.1125,0.1875
rodri alonso,1495,0.3612,0.1806,0.1806
rodri sanchez,775,0.0,0.1161,0.1161
rodrigao,1826,0.0493,0.0493,0.0
rodrigo abascal,6571,0.315,0.0411,0.0274
rodrigo becao,2415,0.4099,0.0373,0.0745
rodrigo bentancur,6256,0.3884,0.0575,0.0288
rodrigo conceicao,1431,0.2516,0.0629,0.0
rodrigo de paul,5478,0.2629,0.115,0.23
rodrigo erramuspe,1344,0.5357,0.067,0.0
rodrigo escoval,4534,0.2382,0.0397,0.0199
rodrigo gomes,3594,0.0751,0.2755,0.0501
rodrigo guth,4610,0.1562,0.0976,0.039
rodrigo huescas,2818,0.2236,0.0319,0.1916
rodrigo mendoza,1597,0.3381,0.1127,0.1127
rodrigo mora,3564,0.1768,0.3788,0.1515
rodrigo muniz,3911,0.069,0.4833,0.092
rodrigo pinheiro,4563,0.1972,0.0592,0.0789
rodrigo pinho,3167,0.3694,0.2842,0.0568
rodrigo ribeiro,1669,0.0539,0.1618,0.0
rodrigo riquelme,3377,0.0533,0.2665,0.1599
rodrigo saravia,1291,0.1394,0.0697,0.0697
rodrigo villagra,562,0.3203,0.0,0.0
rodrigo zalazar,6681,0.2155,0.4715,0.3098
rodrygo,6393,0.0845,0.3238,0.2816
roger brugue,1093,0.0823,0.0823,0.1647
roger fernandes,4000,0.135,0.2025,0.315
roggerio nyakossi,1530,0.1765,0.1765,0.0
roland idowu,2491,0.3613,0.2168,0.0361
roland sallai,6603,0.2726,0.109,0.109
rolando mandragora,5724,0.3145,0.2201,0.1572
romain del castillo,5371,0.0838,0.3016,0.1676
romain esse,499,0.0,0.3607,0.1804
romain faivre,1842,0.1466,0.1466,0.1954
romain perraud,5460,0.2308,0.0824,0.1319
romaine mundle,624,0.1442,0.0,0.0
roman akbashev,580,0.1552,0.0,0.0
roman didyk,5693,0.2529,0.0632,0.0316
roman evgenjev,3284,0.2741,0.0274,0.0274
roman ezhov,2986,0.1507,0.0,0.1808
roman goncharenko,4811,0.2058,0.0,0.0374
roman kvet,4770,0.2075,0.1698,0.0377
roman lyopka,540,0.0,0.0,0.0
roman neustadter,3150,0.1429,0.0286,0.0
roman salenko,658,0.1368,0.1368,0.1368
roman vantukh,5021,0.1075,0.1075,0.0896
roman vega,1177,0.2294,0.0,0.0
roman volokhatyi,3632,0.2478,0.0991,0.0496
roman yaremchuk,2716,0.2651,0.5965,0.1325
roman zobnin,4014,0.1345,0.157,0.0673
romano floriani mussolini,1181,0.1524,0.0,0.2286
romano postema,1296,0.1389,0.1389,0.0694
romano schmid,7584,0.1305,0.1424,0.2255
rome jayden owusu oduro,7212,0.0125,0.0,0.025
romelu lukaku,5101,0.1235,0.4058,0.2294
romeo amane,862,0.1044,0.2088,0.2088
romeo lavia,1827,0.2463,0.0,0.0493
romeo vermant,2892,0.2178,0.4979,0.2178
romulo,4847,0.1671,0.4085,0.2414
ronald araujo,4908,0.1834,0.11,0.0733
ronald koeman jr.,3319,0.0542,0.0271,0.0
ronaldo,6093,0.1329,0.2659,0.1477
ronaldo tavares,597,0.0,0.1508,0.0
ronaldo webster,765,0.2353,0.0,0.0
ronan hale,2143,0.126,0.462,0.0
roni,1317,0.205,0.1367,0.0
ronie carrillo,530,0.1698,0.1698,0.0
rony lopes,2761,0.2934,0.1956,0.0978
roony bardghji,1037,0.0868,0.1736,0.3472
rory mckenzie,1254,0.2153,0.0,0.0718
rosen bozhinov,2006,0.1795,0.0449,0.0
roshon van eijma,2076,0.0867,0.0,0.0434
ross barkley,3549,0.2029,0.2536,0.1775
ross docherty,972,0.463,0.0,0.0
ross doohan,1575,0.0571,0.0,0.0
ross graham,2903,0.186,0.217,0.0
ross laidlaw,1485,0.0,0.0,0.0
ross maciver,661,0.0,0.4085,0.1362
ross mccausland,1656,0.3261,0.163,0.2174
ross sinclair,855,0.0,0.0,0.0
ross sykes,4577,0.295,0.177,0.0393
rostyslav lyakh,4140,0.1957,0.0435,0.087
rostyslav taranukha,2392,0.1881,0.1505,0.1129
roy revivo,1215,0.0741,0.1481,0.1481
roy steur,509,0.1768,0.0,0.0
ruan,3061,0.2058,0.0294,0.1176
ruari paton,493,0.0,0.1826,0.0
ruben aguilar,3854,0.2802,0.0934,0.1168
ruben alcaraz,1696,0.3184,0.1061,0.0531
ruben dias,7986,0.1352,0.0225,0.0
ruben duarte,1061,0.2545,0.0848,0.0848
ruben fernandes,3765,0.1195,0.0239,0.0239
ruben garcia,7728,0.163,0.0932,0.1747
ruben ismael,2543,0.3539,0.0354,0.0354
ruben kluivert,2438,0.443,0.1107,0.1107
ruben lameiras,548,0.3285,0.0,0.1642
ruben lima,2710,0.1993,0.0,0.0996
ruben loftus cheek,4504,0.1798,0.2398,0.04
ruben macedo,1282,0.0,0.1404,0.0702
ruben martinez,542,0.0,0.1661,0.1661
ruben neves,480,0.375,0.1875,0.375
ruben pena,2075,0.0867,0.0,0.0434
ruben perez,2339,0.4617,0.0385,0.0
ruben providence,523,0.3442,0.0,0.3442
ruben ribeiro,1143,0.1575,0.0787,0.1575
ruben roosken,1820,0.2967,0.0495,0.1484
ruben sanchez,878,0.205,0.0,0.1025
ruben semedo,782,0.4604,0.0,0.0
ruben sobrino,1072,0.1679,0.0,0.084
ruben van bommel,3571,0.2016,0.378,0.126
ruben vargas,3911,0.1841,0.2071,0.2301
ruben vezo,1954,0.1382,0.0,0.0461
ruben vinagre,1195,0.2259,0.0,0.2259
rubens,1961,0.2754,0.0,0.0
rudi molotnikov,671,0.2683,0.1341,0.0
rudy matondo,1414,0.3182,0.1273,0.0
rui costa,947,0.095,0.1901,0.095
rui mendes,624,0.4327,0.2885,0.1442
rui modesto,865,0.104,0.0,0.2081
rui patricio,1248,0.0721,0.0,0.0
rui pedro,1683,0.5348,0.0535,0.3209
rui silva,9120,0.0987,0.0,0.0
runar norheim,875,0.0,0.4114,0.1029
runar thor sigurgeirsson,2280,0.2368,0.0395,0.0789
rune paeshuyse,528,0.3409,0.0,0.0
ruslan babenko,6035,0.2535,0.0,0.0298
ruslan bart,577,0.0,0.0,0.312
ruslan bezrukov,4148,0.0868,0.1302,0.1519
ruslan chernenko,4223,0.1492,0.0639,0.1066
ruslan dedukh,1973,0.3649,0.1368,0.0
ruslan litvinov,5553,0.2593,0.0324,0.081
ruslan magal,2025,0.1778,0.0,0.1778
ruslan malinovskyi,3371,0.3471,0.2136,0.1602
ruslan myalkovskiy,450,0.2,0.0,0.2
ruslan neshcheret,5181,0.0,0.0,0.0
ruslan stepanyuk,3320,0.1355,0.2169,0.1355
rustam ashurmatov,1733,0.2077,0.0519,0.0
rustam yatimov,5147,0.1049,0.0,0.0
ruud nijstad,1770,0.0,0.0508,0.0508
rwan cruz,991,0.0908,0.0908,0.2725
ryan alebiosu,1532,0.1762,0.0,0.1762
ryan astley,4781,0.0753,0.0376,0.0565
ryan camenzuli,702,0.3846,0.0,0.0
ryan carlos,692,0.2601,0.0,0.0
ryan christie,5058,0.3025,0.0712,0.1068
ryan duncan,521,0.0,0.0,0.1727
ryan flamingo,7954,0.0905,0.0679,0.0453
ryan fosso,4391,0.205,0.0205,0.041
ryan fraser,505,0.0,0.5347,0.1782
ryan gravenberch,8892,0.1619,0.081,0.1012
ryan leak,2334,0.3085,0.0,0.0
ryan manning,2191,0.2465,0.0,0.0822
ryan mcgowan,2891,0.3113,0.0311,0.0311
ryan mendes,650,0.1385,0.2769,0.4154
ryan merlen,470,0.383,0.0,0.1915
ryan naderi,625,0.0,0.432,0.432
ryan sanusi,1015,0.0,0.0887,0.0887
ryan sessegnon,2976,0.0302,0.2117,0.1815
ryan strain,3181,0.2263,0.0,0.1132
ryan thomas,3014,0.3285,0.0299,0.0896
ryan yates,5098,0.3884,0.1236,0.1412
ryotaro ito,4738,0.0,0.2089,0.133
ryotaro tsunoda,1247,0.1443,0.0,0.0722
ryoya morishita,628,0.0,0.1433,0.8599
ryoya ogawa,2647,0.102,0.068,0.204
saba goglichidze,3101,0.1741,0.0,0.029
sabil hansen,1194,0.2261,0.0754,0.1508
sabit abdulai,1233,0.219,0.0,0.073
sacha boey,2516,0.1073,0.1073,0.1789
sadibou sane,2738,0.1972,0.0657,0.0329
sadio mane,646,0.0,0.2786,0.2786
sadk ciftpnar,1129,0.3189,0.0,0.0797
saeed saharkhizan,1624,0.2771,0.4433,0.0554
sael kumbedi,3127,0.1727,0.0,0.1439
sagiv jehezkel,691,0.2605,0.2605,0.1302
said bakari,4310,0.0626,0.0209,0.0418
said benrahma,1939,0.1392,0.2321,0.3249
said el mala,2038,0.2208,0.5741,0.2208
said hamulic,1166,0.1544,0.6175,0.2316
saidou sow,2513,0.1791,0.0358,0.0716
saidy janko,774,0.2326,0.1163,0.0
salem m'bakata,2865,0.1257,0.0,0.0314
salih dursun,1076,0.1673,0.0836,0.0
salih kavrazl,692,0.1301,0.5202,0.1301
salih malkocoglu,556,0.0,0.0,0.0
salih ozcan,1604,0.1122,0.0,0.0
salih ucan,1604,0.4489,0.0561,0.1122
salis abdul samed,1682,0.214,0.0,0.0535
salomon rondon,1308,0.1376,0.1376,0.0
salvador agra,4070,0.3096,0.0442,0.0885
salvatore sirigu,1530,0.0,0.0,0.0588
sam beukema,7494,0.1081,0.036,0.024
sam curtis,1253,0.1437,0.0,0.1437
sam dalby,2547,0.0353,0.4947,0.0707
sam johnstone,2910,0.0309,0.0,0.0309
sam kersten,6878,0.1047,0.0262,0.0262
sam lammers,5569,0.0323,0.4202,0.2101
sam larsson,5522,0.0652,0.1956,0.1467
sam morsy,2877,0.3128,0.0313,0.0313
sam nicholson,688,0.3924,0.1308,0.0
samba camara,2516,0.1073,0.0358,0.0
samba diallo,897,0.4013,0.1003,0.1003
samba diba,1070,0.3364,0.0,0.0
sambou sissoko,1167,0.3085,0.0,0.0
sambou soumano,928,0.194,0.3879,0.194
samed onur,598,0.602,0.0,0.1505
samet akaydin,4641,0.3878,0.097,0.0388
samet karakoc,595,0.1513,0.0,0.4538
samet yalcn,725,0.4966,0.0,0.0
sami jalal,1796,0.1503,0.1002,0.0
sami lahssaini,2362,0.1524,0.0381,0.0381
sami ouaissa,5008,0.1617,0.2696,0.1438
saminu abdullahi,914,0.1969,0.0,0.0
samir chergui,1155,0.0779,0.0779,0.0
samir el mourabet,2137,0.1685,0.0421,0.1263
sammie szmodics,1137,0.1583,0.4749,0.0792
sampson dweh,2496,0.3245,0.0,0.0721
samson baidoo,1827,0.0985,0.0985,0.0493
samson iyede,1987,0.1359,0.1812,0.0906
samson lawal,863,0.2086,0.0,0.0
samu,5581,0.1935,0.2096,0.1129
samu aghehowa,6437,0.1398,0.6571,0.0699
samu costa,6727,0.3612,0.0937,0.0535
samu saiz,786,0.3435,0.3435,0.1145
samuel amo ameyaw,1609,0.1678,0.2797,0.1119
samuel ballet,1720,0.5233,0.2616,0.0523
samuel bastien,1506,0.0,0.0,0.1195
samuel chukwueze,3425,0.1051,0.2365,0.2891
samuel dahl,5478,0.0986,0.0329,0.0986
samuel edozie,1333,0.135,0.2026,0.2026
samuel essende,3669,0.2453,0.4906,0.0736
samuel gigot,2501,0.3599,0.1439,0.036
samuel gueulette,995,0.2714,0.0,0.0
samuel iling junior,1456,0.1236,0.1854,0.0618
samuel justo,452,0.0,0.0,0.1991
samuel kotto,663,0.0,0.0,0.1357
samuel lino,4184,0.086,0.1721,0.2366
samuel mbangula,2276,0.0395,0.2768,0.3559
samuel moutoussamy,5022,0.1613,0.0538,0.0538
samuel obeng,468,0.0,0.1923,0.0
samuel sahin radlinger,1033,0.0,0.0,0.0
samuel soares,630,0.1429,0.0,0.0
samuel teles,494,0.3644,0.0,0.3644
samuele angori,2779,0.0648,0.0,0.0972
samuele birindelli,3035,0.1483,0.089,0.0297
samuele ricci,5849,0.2924,0.0462,0.1231
samuele vignato,506,0.0,0.0,0.0
samuli miettinen,540,0.1667,0.0,0.0
sana fernandes,572,0.1573,0.1573,0.1573
sander berge,7051,0.1915,0.0,0.0255
sander kartum,907,0.0992,0.1985,0.0
sander svendsen,674,0.1335,0.8012,0.0
sander tangvik,630,0.0,0.0,0.0
sander van de streek,5405,0.1332,0.1499,0.1499
sandi lovric,4221,0.1493,0.064,0.1493
sandro cruz,2947,0.3665,0.0,0.0
sandro kulenovic,1240,0.3629,0.5081,0.1452
sandro lauper,1259,0.2859,0.0715,0.0
sandro lima,1446,0.1245,0.3734,0.1245
sandro ramirez,3450,0.2087,0.2609,0.1826
sandro tonali,6881,0.157,0.0916,0.1177
sandy walsh,452,0.3982,0.0,0.0
santeri vaananen,495,0.3636,0.0,0.0
santi cazorla,924,0.1948,0.0,0.0974
santi comesana,7110,0.2405,0.1392,0.1013
santi garcia,4125,0.3273,0.2182,0.1309
santiago bueno,6040,0.1639,0.0596,0.0447
santiago castro,6500,0.2077,0.3046,0.18
santiago colombatto,2134,0.253,0.0,0.0422
santiago gimenez,4585,0.2159,0.5692,0.2356
santiago hezze,5833,0.2469,0.0309,0.0154
santiago hidalgo,1303,0.2763,0.2763,0.4144
santiago mosquera,450,0.2,0.0,0.0
santiago mourino,4975,0.3618,0.0181,0.0543
santiago pierotti,4930,0.1826,0.0913,0.1095
santino andino,765,0.3529,0.1176,0.1176
sardar azmoun,564,0.3191,0.3191,0.6383
sargis adamyan,659,0.1366,0.1366,0.2731
sasa lukic,5426,0.4147,0.0498,0.0829
sasa zdjelar,3242,0.2221,0.0278,0.0555
sascha britschgi,2277,0.1976,0.0395,0.0791
saud abdulhamid,1725,0.2087,0.1565,0.313
saul coco,7916,0.216,0.0341,0.0114
saul guarirapa,2677,0.3026,0.4707,0.0336
saul niguez,2592,0.5556,0.0694,0.2083
sava arangel cestic,463,0.1944,0.0,0.0
sava petrov,515,0.3495,0.3495,0.0
savinho,6193,0.1599,0.1889,0.2907
savvas mourgos,1675,0.3224,0.1075,0.1075
sawomir abramowicz,990,0.0,0.0,0.0
sayfallah ltaief,1804,0.0499,0.0998,0.0998
scott allardice,562,0.0,0.0,0.0
scott arfield,793,0.227,0.227,0.0
scott bain,3314,0.0543,0.0,0.0
scott mckenna,4119,0.1092,0.0,0.0
scott mctominay,8004,0.09,0.3486,0.1349
scott pittman,3131,0.1437,0.1437,0.0575
scott tanser,3622,0.2236,0.0497,0.1491
scott tiffoney,2989,0.0602,0.2409,0.1506
scott wright,986,0.0913,0.1826,0.0913
sead haksabanovic,930,0.0,0.3871,0.0
sead kolasinac,6209,0.2319,0.0145,0.058
seamus coleman,1128,0.0798,0.0,0.0
sean goss,671,0.4024,0.2683,0.1341
sean kelly,815,0.0,0.0,0.0
sean klaiber,3749,0.096,0.0,0.168
sean longstaff,4326,0.1872,0.1664,0.0832
sean steur,1380,0.1304,0.0652,0.1304
seb palmer houlden,1424,0.0632,0.316,0.0632
seba perez,4770,0.3962,0.0189,0.0189
sebastiaan bornauw,2589,0.2781,0.0695,0.0
sebastian coates,1489,0.1209,0.2418,0.0
sebastian holmen,1371,0.1313,0.0,0.0
sebastian jrgensen,585,0.0,0.0,0.3077
sebastian lomonaco,1361,0.3968,0.1323,0.0
sebastian mladen,2343,0.3841,0.0384,0.0
sebastian musiolik,821,0.1096,0.2192,0.0
sebastian nanasi,3564,0.0505,0.404,0.1768
sebastian otoa,1865,0.0965,0.0,0.0483
sebastian palacios,2919,0.1542,0.2775,0.2775
sebastian polter,475,0.0,0.0,0.1895
sebastian ring,1824,0.3947,0.0493,0.0
sebastian sebulonsen,4793,0.0939,0.0188,0.1314
sebastian szymanski,6954,0.1035,0.1424,0.2718
sebastian tounekti,2493,0.1805,0.1444,0.0722
sebastian walukiewicz,6205,0.2466,0.0,0.0145
sebastiano esposito,5477,0.1479,0.2958,0.1315
sebastiano luperto,8307,0.13,0.0325,0.065
sebastien haller,3403,0.0529,0.2116,0.1587
seedy jatta,853,0.1055,0.1055,0.1055
sefer emini,2325,0.2323,0.0387,0.1161
seiji kimura,1215,0.0,0.0741,0.0
seiya maikuma,3438,0.0785,0.0524,0.0785
seko fofana,2193,0.1642,0.2052,0.0821
sekou koita,3554,0.2026,0.2786,0.1013
sekou mara,1988,0.0905,0.1811,0.1358
selim amallah,1556,0.347,0.2314,0.1735
sem scheperman,3290,0.3556,0.0821,0.0547
sem steijn,6792,0.106,0.5565,0.1723
sem van duijn,1194,0.1508,0.3769,0.1508
semen vovchenko,5049,0.1961,0.0178,0.0178
semih guler,6104,0.2212,0.0442,0.0
semih klcsoy,4423,0.2238,0.3663,0.1831
semm renders,1164,0.0773,0.0,0.0773
semuel pizzignacco,1036,0.0,0.0,0.0
senna miangue,1330,0.3383,0.0,0.0
senne lammens,6017,0.0,0.0,0.0
senne lynen,7312,0.2216,0.0,0.0492
senny mayulu,3492,0.1031,0.2835,0.1804
sepp van den berg,7572,0.107,0.0238,0.0357
sequeira,1552,0.4639,0.058,0.058
serdar aziz,605,0.2975,0.0,0.1488
serdar dursun,2438,0.1477,0.3692,0.1477
serdar gurler,908,0.0991,0.1982,0.1982
serdar saatc,1426,0.4418,0.0,0.0
serder serderov,1545,0.233,0.1165,0.1165
serge gnabry,4586,0.0589,0.4121,0.4317
serge philippe raux yao,930,0.1935,0.0968,0.0
sergej milinkovic savic,480,0.1875,0.0,0.0
sergey babkin,5096,0.1413,0.0353,0.0706
sergey bozhin,5574,0.1938,0.0484,0.0161
sergey bryzgalov,571,0.7881,0.0,0.0
sergey muradyan,744,0.2419,0.0,0.121
sergey parshivlyuk,487,0.5544,0.0,0.1848
sergey pesjakov,4967,0.0544,0.0,0.0181
sergey petrov,3117,0.2021,0.0,0.0577
sergey pinyaev,3591,0.1253,0.3258,0.2005
sergey pryakhin,1632,0.2206,0.0551,0.1103
sergey terekhov,817,0.4406,0.0,0.1102
sergey varatynov,2913,0.0927,0.0309,0.0
sergey volkov,4185,0.1075,0.0,0.0215
sergi altimira,4879,0.1845,0.0738,0.0738
sergi canos,1635,0.2202,0.1101,0.3853
sergi cardona,7180,0.2507,0.0376,0.163
sergi darder,6998,0.1286,0.0643,0.1672
sergi dominguez,954,0.1887,0.0,0.0943
sergi gomez,3335,0.081,0.0,0.0
sergi guardiola,851,0.3173,0.2115,0.1058
sergi roberto,2416,0.596,0.0373,0.149
serginho,8306,0.2167,0.195,0.2709
sergino dest,4955,0.0908,0.0545,0.2543
sergio akieme,3672,0.1961,0.098,0.0735
sergio arribas,940,0.0957,0.383,0.2872
sergio bermejo,961,0.0,0.0937,0.0
sergio camello,3496,0.1287,0.3347,0.1287
sergio carreira,5372,0.0503,0.0335,0.0838
sergio cordova,3963,0.1363,0.2271,0.1136
sergio diaz,1295,0.278,0.2085,0.0695
sergio gomez,6745,0.1201,0.0667,0.1735
sergio gonzalez,3257,0.0829,0.0553,0.0
sergio herrera,8408,0.0963,0.0,0.0
sergio oliveira,593,0.1518,0.0,0.0
sergio pena,1200,0.3,0.075,0.15
sergio ramos,1980,0.1818,0.1364,0.0
sergio reguilon,1439,0.3753,0.0,0.2502
sergio ruiz,1539,0.3509,0.0,0.2339
sergiu bus,450,0.6,0.2,0.0
sergiy buletsa,1735,0.0,0.0519,0.3631
sergiy chobotenko,6182,0.0728,0.0291,0.0437
sergiy korniychuk,1240,0.5806,0.0726,0.0
sergiy kosovskyi,1737,0.0518,0.0,0.0518
sergiy kyslenko,1101,0.1635,0.0817,0.0817
sergiy loginov,957,0.1881,0.0,0.0
sergiy myakushko,1788,0.2013,0.2517,0.151
sergiy petko,1334,0.3373,0.0675,0.0675
sergiy rybalka,584,0.9247,0.1541,0.1541
sergiy sten,586,0.4608,0.0,0.0
sergiy sukhanov,3704,0.1458,0.1215,0.0486
sergiy sydorchuk,1232,0.2922,0.0,0.1461
serhat oztasdelen,630,0.0,0.0,0.0
serhou guirassy,8619,0.1044,0.7414,0.1671
serkan asan,945,0.0,0.0,0.0
serxho ujka,564,0.0,0.1596,0.1596
seydouba cisse,2686,0.134,0.1005,0.0335
shahrudin mahammadaliyev,1710,0.1053,0.0,0.0
shamal george,4175,0.0862,0.0,0.0431
shamar nicholson,1134,0.2381,0.4762,0.2381
shane blaney,1348,0.2671,0.0668,0.0
shapi suleymanov,2155,0.1253,0.2088,0.0835
shaun rooney,768,0.3516,0.1172,0.0
shavy babicka,2742,0.0985,0.1969,0.1313
shawn adewoye,5333,0.135,0.0338,0.0
shayden morris,1548,0.1163,0.2326,0.6395
sheraldo becker,3907,0.0921,0.2304,0.2304
sherel floranus,6623,0.1767,0.0136,0.0679
sherzod esanov,792,0.4545,0.1136,0.0
shiloh 't zand,1189,0.0757,0.0757,0.0
sho fukuda,697,0.2582,0.5165,0.1291
shogo taniguchi,3197,0.1126,0.0563,0.0282
shola ogundana,1062,0.0847,0.1695,0.0
shola shoretire,2390,0.2636,0.3766,0.0377
shon weissman,493,0.0,0.1826,0.0
shota nonikashvili,2927,0.369,0.1537,0.123
show,2321,0.3878,0.0,0.0
shunsuke mito,4700,0.0,0.3064,0.134
shurandy sambo,1846,0.2925,0.0,0.0975
