nname,mins,club_yc90,club_g90,club_a90
alfie devine,1610,0.1677,0.2236,0.0
alfie dorrington,895,0.1006,0.1006,0.0
alfie doughty,1916,0.1409,0.047,0.1879
alfon gonzalez,2420,0.0372,0.4091,0.186
alfons sampsted,1427,0.0631,0.0631,0.1261
alfonso espino,4152,0.3035,0.065,0.065
alfonso pedraza,2707,0.3325,0.0332,0.2327
alfonso trezza,4982,0.1445,0.2529,0.1265
alfred duncan,2036,0.0884,0.0442,0.0884
alfredo mejia,522,0.3448,0.0,0.0
ali abdi,3493,0.1031,0.2319,0.0773
ali alipour,647,0.1391,0.2782,0.1391
ali aytemur,2788,0.0968,0.0323,0.0
ali emre yanar,720,0.25,0.0,0.0
ali kaan guneren,1348,0.0,0.0668,0.0
ali karimi,2643,0.1703,0.1022,0.0681
ali maamar,1809,0.2488,0.0,0.0
ali sasal vural,3735,0.1205,0.0,0.0
ali sowe,6462,0.1114,0.4178,0.1114
ali yasar,1431,0.1258,0.0629,0.0629
ali yavuz kol,2427,0.2596,0.0371,0.1854
ali youssif,968,0.3719,0.0,0.0
alidu seidu,2643,0.2724,0.0,0.0341
alieu fadera,3095,0.2326,0.0872,0.2036
alieu njie,857,0.3151,0.21,0.105
alim ozturk,1321,0.3407,0.0,0.1363
alimami gory,978,0.2761,0.4601,0.184
alin fica,492,0.0,0.1829,0.0
aliou thiare,856,0.3154,0.1051,0.0
alioune ndoye,1008,0.2679,0.4464,0.1786
alireza jahanbakhsh,2221,0.2431,0.1216,0.1621
alisson,9310,0.0483,0.0483,0.1257
alisson safira,1050,0.6857,0.1714,0.1714
alisson santos,1345,0.0669,0.4684,0.2007
alistair johnston,5246,0.1201,0.0858,0.2917
aljoscha kemlein,3161,0.2278,0.0285,0.0569
allahyar sayyadmanesh,4135,0.1741,0.2394,0.2177
allan,547,0.1645,0.0,0.1645
allan campbell,1173,0.0767,0.0,0.0
allan godoi,1854,0.0971,0.0,0.0971
allan nyom,1572,0.458,0.0573,0.1718
allan saint maximin,2141,0.2522,0.2943,0.3363
ally samatta,3001,0.2099,0.2099,0.15
aloisio,785,0.3439,0.1146,0.0
alonzo engwanda,5772,0.1403,0.0,0.0312
alp arda,1513,0.1785,0.0,0.0
alpaslan ozturk,1766,0.3567,0.051,0.0
alpha toure,1602,0.2809,0.0,0.0562
alphonse areola,5769,0.0156,0.0,0.0156
alphonso davies,4402,0.0409,0.1431,0.2249
altay bayndr,1290,0.0,0.0,0.0
altin zeqiri,3197,0.1689,0.2252,0.1689
alvaro aguado,599,0.4508,0.0,0.1503
alvaro carreras,8213,0.3068,0.0767,0.0877
alvaro djalo,2123,0.3815,0.212,0.0848
alvaro fernandez,926,0.1944,0.0,0.0
alvaro fidalgo,749,0.0,0.1202,0.0
alvaro garcia,6163,0.146,0.219,0.1898
alvaro martinez,812,0.1108,0.0,0.0
alvaro morata,4691,0.3262,0.3837,0.1727
alvaro nunez,1984,0.0907,0.0,0.0907
alvaro odriozola,1243,0.362,0.0724,0.0
alvaro pena,742,0.3639,0.0,0.0
alvaro raton,1170,0.0,0.0,0.0
alvaro rodriguez,3405,0.2643,0.2643,0.1586
alvaro tejero,3751,0.1919,0.024,0.144
alvaro valles,4614,0.0585,0.0,0.0
alvaro zamora,1345,0.4684,0.2007,0.2007
amad diallo,5905,0.1829,0.2591,0.2286
amadou bakayoko,1055,0.5118,0.1706,0.2559
amadou dante,2073,0.0434,0.0,0.0
amadou haidara,3442,0.2876,0.0784,0.1046
amadou kone,1755,0.359,0.0,0.0
amadou onana,5661,0.1749,0.1272,0.0
amando lapage,1066,0.0844,0.0,0.0
amantur shamurzaev,530,0.1698,0.0,0.0
amar dedic,4544,0.1585,0.0198,0.1585
amar fatah,2820,0.2553,0.3191,0.0957
amar gerxhaliu,948,0.0949,0.0949,0.0
amar memic,1428,0.1261,0.0,0.1261
amar rahmanovic,2796,0.2897,0.3219,0.0644
amara conde,896,0.1004,0.0,0.2009
amari'i bell,884,0.0,0.0,0.0
amath ndiaye,740,0.4865,0.0,0.2432
ambrosiy chachua,5040,0.1071,0.25,0.1429
ameen al dakhil,1198,0.0751,0.0751,0.0
amin cherni,3008,0.0299,0.0,0.1197
amin chiakha,1478,0.1218,0.4263,0.0609
amin sarr,3397,0.0265,0.106,0.053
