ref_norm,referee,club_games,club_cpg,club_ratio
edgars malcevs,Edgars Malcevs,7,4.429,1.028
scott jackson,Scott Jackson,7,3.571,0.829
nikita novikov,Nikita Novikov,7,5.0,1.161
stan smit,Stan Smit,7,4.0,0.928
konstantinos perakis,Konstantinos Perakis,7,5.571,1.293
toni dadic,Toni Dadic,7,4.429,1.028
gurcan hasova,Gürcan Hasova,7,6.286,1.459
oleg gusakov,Oleg Gusakov,7,4.571,1.061
jack morgan,Jack Morgan,7,3.143,0.729
takuto okabe,Takuto Okabe,7,2.571,0.597
salvador perez villalobos,Salvador Pérez Villalobos,7,4.286,0.995
abraham quirarte,Abraham Quirarte,7,6.571,1.525
jorge balino,Jorge Baliño,7,2.714,0.63
jonathan benkenstein pinheiro,Jonathan Benkenstein Pinheiro,7,5.0,1.161
jairo mayorga london,Jairo Mayorga Londoñ,7,7.143,1.658
yonatan peinado aguirre,Yonatan Peinado Aguirre,7,5.571,1.293
massimo busacca,Massimo Busacca,7,3.0,0.696
lubos michel,Lubos Michel,7,7.143,1.658
nikolay yordanov,Nikolay Yordanov,6,8.0,1.857
nikolaj hanni,Nikolaj Hänni,6,6.5,1.509
dennis antamo,Dennis Antamo,6,3.833,0.89
thoroddur hjaltalin,Thóroddur Hjaltalín,6,4.0,0.928
vladimir vnuk,Vladimir Vnuk,6,5.5,1.277
lasha silagava,Lasha Silagava,6,6.667,1.547
rene eisner,Rene Eisner,6,5.333,1.238
andriy lisakovskyi,Andriy Lisakovskyi,6,3.667,0.851
mikhail belov,Mikhail Belov,6,3.5,0.812
vasili miroshnichenko,Vasili Miroshnichenko,6,6.5,1.509
scott duncan,Scott Duncan,6,1.833,0.426
richard clark,Richard Clark,6,3.0,0.696
mark brown,Mark Brown,6,2.5,0.58
giannis mourtzakis,Giannis Mourtzakis,6,2.5,0.58
georgios giannoulakis,Georgios Giannoulakis,6,7.667,1.78
thorben siewer,Thorben Siewer,6,3.667,0.851
aleksandr aliev,Aleksandr Aliev,6,5.0,1.161
svein erik edvartsen,Svein-Erik Edvartsen,6,4.667,1.083
bryn markham jones,Bryn Markham-Jones,6,3.5,0.812
stijn berben,Stijn Berben,6,3.0,0.696
kutluhan bilgic,Kutluhan Bilgic,6,4.5,1.045
alfonso vicente moral,Alfonso Vicente Moral,6,5.167,1.199
henrik overgaard,Henrik Overgaard,6,1.333,0.309
keith hill,Keith Hill,6,3.0,0.696
sandro meira ricci,Sandro Meira Ricci,6,3.167,0.735
zbynek proske,Zbynek Proske,6,4.0,0.928
freek van herk,Freek van Herk,6,3.833,0.89
sandor ando szabo,Sándor Andó-Szabó,6,3.333,0.774
victor areces franco,Víctor Areces Franco,6,4.333,1.006
roomer tarajev,Roomer Tarajev,6,5.833,1.354
aleksandr borisov,Aleksandr Borisov,6,3.333,0.774
maksim sutormin,Maksim Sutormin,6,4.5,1.045
matt conger,Matt Conger,6,3.5,0.812
andrew davey,Andrew Davey,6,3.167,0.735
christof gunsch,Christof Günsch,6,4.5,1.045
keith kennedy,Keith Kennedy,6,8.0,1.857
vadym zaprutnyak,Vadym Zaprutnyak,6,5.5,1.277
aleksey ivannikov,Aleksey Ivannikov,6,4.0,0.928
jerome vries,Jerome Vries,6,4.5,1.045
david galvez rascon,David Gálvez Rascón,6,5.0,1.161
emil martinussen,Emil Martinussen,6,1.667,0.387
timotheos christofi,Timotheos Christofi,6,4.333,1.006
igor bych,Igor Bych,6,3.833,0.89
aleksandr samsonov,Aleksandr Samsonov,6,3.667,0.851
pavel shishkin,Pavel Shishkin,6,4.833,1.122
fotis daoulas,Fotis Daoulas,6,4.833,1.122
paul marsden,Paul Marsden,6,2.667,0.619
rauf cabarov,Rauf Cabarov,6,5.5,1.277
daniele rutella,Daniele Rutella,6,3.167,0.735
fernando rapallini,Fernando Rapallini,6,4.333,1.006
euan birch,Euan Birch,6,3.333,0.774
dragomir draganov,Dragomir Draganov,6,5.167,1.199
florian lechner,Florian Lechner,6,3.833,0.89
roman marnavskiy,Roman Marnavskiy,6,7.333,1.702
benjamin seferovic,Benjamin Seferovic,6,4.0,0.928
maksym firsov,Maksym Firsov,6,4.5,1.045
kristina kozorog,Kristina Kozorog,6,5.167,1.199
ryan kennedy,Ryan Kennedy,6,5.0,1.161
scott tallis,Scott Tallis,6,2.333,0.542
rebecca welch,Rebecca Welch,6,3.333,0.774
daniel palencia caballero,Daniel Palencia Caballero,6,4.5,1.045
sergiu claudiu muresan,Sergiu Claudiu Muresan,6,4.833,1.122
manuel angel perez hernandez,Manuel Ángel Pérez Hernández,6,4.667,1.083
pavel lysenko,Pavel Lysenko,6,4.0,0.928
vladislav shipkov,Vladislav Shipkov,6,4.333,1.006
rick sturm,Rick Sturm,6,1.667,0.387
steve janssen,Steve Janssen,6,3.667,0.851
miguel gonzalez diaz,Miguel González Díaz,6,5.833,1.354
hee gon kim,Hee-gon Kim,6,2.833,0.658
vera opeykina,Vera Opeykina,6,3.333,0.774
myroslav lypko,Myroslav Lypko,6,6.0,1.393
eric van der vaart,Eric van der Vaart,6,2.833,0.658
jorg ordelmans,Jorg Ordelmans,6,3.0,0.696
jamie wilkie,Jamie Wilkie,6,3.5,0.812
martin matosa,Martin Matosa,6,6.0,1.393
vojtech opocensky,Vojtech Opocensky,6,4.5,1.045
oliver romic,Oliver Romic,6,4.5,1.045
emil ristoskov,Emil Ristoskov,6,5.5,1.277
andrea calzavara,Andrea Calzavara,6,4.167,0.967
gabriel mihuleac,Gabriel Mihuleac,6,3.0,0.696
yigal frid,Yigal Frid,6,5.0,1.161
jonas bgelund,Jonas Bøgelund,6,3.5,0.812
luis garcia rodriguez,Luis García Rodríguez,6,3.5,0.812
karen hernandez andrade,Karen Hernández Andrade,6,3.5,0.812
ivan lopez sanchez,Iván López Sánchez,6,4.5,1.045
bruno pereira vasconcelos,Bruno Pereira Vasconcelos,6,5.167,1.199
marcelo de lima henrique,Marcelo de Lima Henrique,6,4.833,1.122
anthony letellier,Anthony Letellier,6,3.5,0.812
hector rivera,Héctor Rivera,6,5.333,1.238
alejandro moncada,Alejandro Moncada,6,5.833,1.354
felipe viola,Felipe Viola,6,5.5,1.277
cheol jun choi,Cheol-jun Choi,6,5.333,1.238
yuichi nishimura,Yuichi Nishimura,5,4.4,1.021
mitja zganec,Mitja Žganec,5,3.8,0.882
dag vidar hafsas,Dag Vidar Hafsås,5,3.0,0.696
sergejus slyva,Sergejus Slyva,5,5.6,1.3
bardhyl pashaj,Bardhyl Pashaj,5,4.2,0.975
ignasi villamayor rozados,Ignasi Villamayor Rozados,5,4.4,1.021
sven bindels,Sven Bindels,5,6.6,1.532
nerijus dunauskas,Nerijus Dunauskas,5,3.8,0.882
renato goncalves,Renato Gonçalves,5,7.4,1.718
jan valasek,Jan Valasek,5,4.4,1.021
robert maek,Robert Małek,5,5.6,1.3
lorenc jemini,Lorenc Jemini,5,4.6,1.068
mihaly fabian,Mihály Fábián,5,6.2,1.439
emir aleckovic,Emir Aleckovic,5,4.2,0.975
marco borg,Marco Borg,5,3.0,0.696
anar salmanov,Anar Salmanov,5,5.2,1.207
hannes kaasik,Hannes Kaasik,5,3.2,0.743
menashe masiah,Menashe Masiah,5,3.0,0.696
sascha kever,Sascha Kever,5,5.2,1.207
maarten ketting,Maarten Ketting,5,4.6,1.068
emilio ostinelli,Emilio Ostinelli,5,5.0,1.161
filippo merchiori,Filippo Merchiori,5,3.8,0.882
diego roca,Diego Roca,5,4.2,0.975
sebastian ripoll solano,Sebastián Ripoll Solano,5,6.6,1.532
davy otto,Davy Otto,5,5.0,1.161
tom koekoek,Tom Koekoek,5,1.2,0.279
alberto fuente martin,Alberto Fuente Martín,5,5.0,1.161
pedro sureda cuenca,Pedro Sureda Cuenca,5,8.6,1.996
ian williamson,Ian Williamson,5,3.0,0.696
steven rushton,Steven Rushton,5,1.8,0.418
michael russell,Michael Russell,5,1.8,0.418
andy d'urso,Andy D'Urso,5,2.8,0.65
djamel haimoudi,Djamel Haimoudi,5,3.2,0.743
konstantinos balatsoukas,Konstantinos Balatsoukas,5,4.0,0.928
sascha amhof,Sascha Amhof,5,5.0,1.161
bakary papa gassama,Bakary Papa Gassama,5,1.6,0.371
brendan malone,Brendan Malone,5,3.4,0.789
eric thijs,Eric Thijs,5,4.0,0.928
ibai rezola etxeberria,Ibai Rezola Etxeberria,5,6.8,1.578
horacio elizondo,Horacio Elizondo,5,5.8,1.346
viktor aranovskyi,Viktor Aranovskyi,5,5.4,1.253
dmitri smirnov,Dmitri Smirnov,5,5.6,1.3
guillermo conejero sanchez,Guillermo Conejero Sánchez,5,5.6,1.3
dmitri sukhov,Dmitri Sukhov,5,3.0,0.696
konstantin molchanov,Konstantin Molchanov,5,5.0,1.161
igor baranov,Igor Baranov,5,4.2,0.975
alexander sather,Alexander Sather,5,4.0,0.928
aleksandrs golubevs,Aleksandrs Golubevs,5,2.6,0.603
fyodor zammit,Fyodor Zammit,5,3.4,0.789
boris marhefka,Boris Marhefka,5,4.0,0.928
henrik hansen,Henrik Hansen,5,4.0,0.928
konstantin averyanov,Konstantin Averyanov,5,4.4,1.021
dmitri nedvizhay,Dmitri Nedvizhay,5,4.0,0.928
janny sikazwe,Janny Sikazwe,5,4.0,0.928
thijs voncken,Thijs Voncken,5,2.4,0.557
ivan caparros hernandez,Iván Caparrós Hernández,5,1.0,0.232
malang diedhiou,Malang Diedhiou,5,3.6,0.836
besfort kasumi,Besfort Kasumi,5,6.4,1.486
morten bach jepsen,Morten Bach Jepsen,5,2.8,0.65
pavlo dubrovets,Pavlo Dubrovets,5,6.6,1.532
andreas vlachos,Andreas Vlachos,5,2.8,0.65
loukas sotiriou,Loukas Sotiriou,5,4.8,1.114
kaspar sjoberg,Kaspar Sjöberg,5,4.2,0.975
oskari hamalainen,Oskari Hämäläinen,5,5.0,1.161
aleksandr sedinkin,Aleksandr Sedinkin,5,5.6,1.3
daniil shemetov,Daniil Shemetov,5,6.0,1.393
konstantinos bairaktaris,Konstantinos Bairaktaris,5,2.6,0.603
alexandre aleman perez,Alexandre Alemán Pérez,5,6.0,1.393
mike de bruijn,Mike de Bruijn,5,2.6,0.603
thijs dogterom,Thijs Dogterom,5,5.0,1.161
yegor kevlich,Yegor Kevlich,5,4.2,0.975
james durkin,James Durkin,5,4.4,1.021
eder mallo fernandez,Eder Mallo Fernández,5,5.2,1.207
lee robertson,Lee Robertson,5,4.4,1.021
georgi davidov,Georgi Davidov,5,4.2,0.975
mikhail plisko,Mikhail Plisko,5,1.6,0.371
yuriy matveev,Yuriy Matveev,5,4.4,1.021
dominique prick,Dominique Prick,5,3.8,0.882
joshua kuipers,Joshua Kuipers,5,4.0,0.928
haico michielsen,Haico Michielsen,5,3.8,0.882
dmitriy dmitriev,Dmitriy Dmitriev,5,5.0,1.161
viktor latsviev,Viktor Latsviev,5,4.4,1.021
matthew russell,Matthew Russell,5,2.2,0.511
scott simpson,Scott Simpson,5,4.8,1.114
andres matonte,Andrés Matonte,5,3.4,0.789
richard hempel,Richard Hempel,5,3.6,0.836
tom bauer,Tom Bauer,5,4.6,1.068
milos boskovic,Miloš Bošković,5,2.8,0.65
tomas klima,Tomas Klima,5,5.6,1.3
frederikke lydia sokjaer,Frederikke Lydia Sökjaer,5,3.2,0.743
nanna andersen,Nanna Andersen,5,1.6,0.371
aleksandr mayun,Aleksandr Mayun,5,4.4,1.021
anton sidorin,Anton Sidorin,5,3.8,0.882
ross clark,Ross Clark,5,4.8,1.114
manuel jesus orellana cid,Manuel Jesús Orellana Cid,5,5.4,1.253
ning ma,Ning Ma,5,3.8,0.882
ming fu,Ming Fu,5,1.8,0.418
ilgiz tantashev,Ilgiz Tantashev,5,4.8,1.114
kyriakos athanasiou,Kyriakos Athanasiou,5,4.8,1.114
jeremy muller,Jérémy Muller,5,7.0,1.625
martin dohal,Martin Dohal,5,3.8,0.882
roman jitari,Roman Jitari,5,4.8,1.114
jacob christensen,Jacob Christensen,5,1.2,0.279
faruk iriskic,Faruk Iriskic,5,1.8,0.418
danil naboka,Danil Naboka,5,4.8,1.114
sergey kolesnik,Sergey Kolesnik,5,5.0,1.161
efim rubtsov,Efim Rubtsov,5,4.0,0.928
kristian petersen,Kristian Petersen,5,3.2,0.743
miroslav milenkovic,Miroslav Milenkovic,5,4.2,0.975
mihaly kapraly,Mihály Káprály,5,6.2,1.439
jovan kachevski,Jovan Kachevski,5,5.6,1.3
raed ali al zahrani,Raed Ali Al-Zahrani,5,5.0,1.161
adam bavcar,Adam Bavcar,5,3.2,0.743
andy wolff,Andy Wolff,5,5.0,1.161
zac kennard kettle,Zac Kennard-Kettle,5,3.6,0.836
dahane beida,Dahane Beida,5,2.4,0.557
mario terrazas chavez,Mario Terrazas Chávez,5,5.0,1.161
martin molina astorga,Martín Molina Astorga,5,4.4,1.021
silvio trucco,Silvio Trucco,5,7.2,1.671
braulio da silva machado,Bráulio da Silva Machado,5,7.2,1.671
nabil bensalah,Nabil Bensalah,5,3.8,0.882
giuseppe mucera,Giuseppe Mucera,5,2.2,0.511
carlos eugenio simon,Carlos Eugênio Simon,5,5.2,1.207
resat onur coskunses,Reşat Onur Coşkunses,5,4.6,1.068
diego ruiz,Diego Ruiz,5,7.6,1.764
bismark santiago,Bismark Santiago,5,5.2,1.207
ferney trujillo,Ferney Trujillo,5,5.8,1.346
nolberto ararat,Nolberto Ararat,5,5.2,1.207
joaquin vizcarra,Joaquín Vizcarra,5,4.8,1.114
hector baldassi,Héctor Baldassi,4,3.75,0.87
thorsten schriever,Thorsten Schriever,4,1.5,0.348
christian bandurski,Christian Bandurski,4,4.0,0.928
johnny casanova,Johnny Casanova,4,3.25,0.754
tony asumaa,Tony Asumaa,4,7.0,1.625
domagoj vuckov,Domagoj Vuckov,4,5.25,1.219
aleksandr gauzer,Aleksandr Gauzer,4,4.75,1.103
rob rogers,Rob Rogers,4,5.5,1.277
andriy yablonsky,Andriy Yablonsky,4,5.25,1.219
oleksiy drachov,Oleksiy Drachov,4,2.25,0.522
pavlo pochepetskyi,Pavlo Pochepetskyi,4,5.0,1.161
mark courtney,Mark Courtney,4,4.25,0.986
tommy skjerven,Tommy Skjerven,4,4.25,0.986
eli hacmon,Eli Hacmon,4,3.25,0.754
marios panayi,Marios Panayi,4,4.5,1.045
vadims direktorenko,Vadims Direktorenko,4,4.25,0.986
richard trutz,Richard Trutz,4,6.5,1.509
andriy kutakov,Andriy Kutakov,4,6.0,1.393
fabio piscopo,Fabio Piscopo,4,2.25,0.522
francesco guccini,Francesco Guccini,4,5.5,1.277
angel hernandez lorenzo,Ángel Hernández Lorenzo,4,5.0,1.161
francisco manuel arias lopez,Francisco Manuel Arias López,4,3.5,0.812
jose ramon pineiro crespo,José Ramón Piñeiro Crespo,4,4.25,0.986
david perez pallas,David Pérez Pallas,4,6.25,1.451
ryan milne,Ryan Milne,4,4.0,0.928
volodymyr bondar,Volodymyr Bondar,4,4.75,1.103
lars skibild jensen,Lars Skibild Jensen,4,1.5,0.348
vicente gil coscolla,Vicente Gil Coscolla,4,8.5,1.973
dmitri veselov,Dmitri Veselov,4,3.75,0.87
fred graham,Fred Graham,4,4.75,1.103
michael naylor,Michael Naylor,4,1.25,0.29
kevin wright,Kevin Wright,4,3.5,0.812
eddie ilderton,Eddie Ilderton,4,2.5,0.58
michael bull,Michael Bull,4,2.25,0.522
scott mathieson,Scott Mathieson,4,2.5,0.58
nikolaos ratsiatos,Nikolaos Ratsiatos,4,3.75,0.87
carlos vera,Carlos Vera,4,2.25,0.522
ray crangle,Ray Crangle,4,4.5,1.045
merlijn gerritsen,Merlijn Gerritsen,4,4.25,0.986
karel van den heuvel,Karel van den Heuvel,4,5.75,1.335
albert avalos martos,Albert Ávalos Martos,4,6.75,1.567
ricardo escudero marin,Ricardo Escudero Marín,4,5.75,1.335
jorge valdes aller,Jorge Valdés Aller,4,4.0,0.928
graham horwood,Graham Horwood,4,3.25,0.754
benjamin williams,Benjamin Williams,4,6.0,1.393
joel aguilar,Joel Aguilar,4,2.75,0.638
edin jakupovic,Edin Jakupovic,4,3.75,0.87
abdullah ylmaz,Abdullah Yılmaz,4,5.5,1.277
pierantonio perotti,Pierantonio Perotti,4,3.75,0.87
jose gonzalez echeverria,José González Echeverría,4,5.5,1.277
andriy yablonskyi,Andriy Yablonskyi,4,4.75,1.103
pedro vilaca,Pedro Vilaça,4,5.0,1.161
pablo fernandez perez,Pablo Fernández Pérez,4,4.5,1.045
sergio escriche guzman,Sergio Escriche Guzman,4,6.0,1.393
yuriy aponasenko,Yuriy Aponasenko,4,2.5,0.58
dimitrios massias,Dimitrios Massias,4,4.5,1.045
oleg derevinskyi,Oleg Derevinskyi,4,3.5,0.812
marcel roeleveld,Marcel Roeleveld,4,5.75,1.335
daniele martinelli,Daniele Martinelli,4,4.75,1.103
scott millar,Scott Millar,4,3.75,0.87
aleksey avtukhovich,Aleksey Avtukhovich,4,3.75,0.87
ruben ruiperez marin,Ruben Ruiperez Marin,4,6.25,1.451
ruben eiriz mata,Rubén Eiriz Mata,4,5.75,1.335
leandro carbajales gomez,Leandro Carbajales Gómez,4,6.75,1.567
vladimir pevchev,Vladimir Pevchev,4,1.75,0.406
anton batalov,Anton Batalov,4,3.0,0.696
maksim nasedin,Maksim Nasedin,4,3.75,0.87
sergey tikhonov,Sergey Tikhonov,4,3.25,0.754
maksim shutov,Maksim Shutov,4,4.0,0.928
evgeni kozlov,Evgeni Kozlov,4,6.0,1.393
martin outzen,Martin Outzen,4,2.25,0.522
nenad djokic,Nenad Djokic,4,4.0,0.928
aleksey shishkin,Aleksey Shishkin,4,4.25,0.986
andrey khudorozhkov,Andrey Khudorozhkov,4,3.5,0.812
denis zabotin,Denis Zabotin,4,2.0,0.464
petr miroshnichenko,Petr Miroshnichenko,4,3.75,0.87
vladimir lapkin,Vladimir Lapkin,4,4.25,0.986
bilal sahiner,Bilal Sahiner,4,4.25,0.986
taras shevchenko,Taras Shevchenko,4,4.5,1.045
ivan robilotta,Ivan Robilotta,4,5.25,1.219
vitaliy malyar,Vitaliy Malyar,4,4.0,0.928
antonio sanchez sanchez,Antonio Sánchez Sánchez,4,5.75,1.335
christian hansen,Christian Hansen,4,1.0,0.232
roel de cock,Roel de Cock,4,2.25,0.522
lorraine watson,Lorraine Watson,4,2.5,0.58
nils heer,Nils Heer,4,0.0,0.0
rasmus nielsen,Rasmus Nielsen,4,1.0,0.232
mikhail bukhovets,Mikhail Bukhovets,4,5.5,1.277
konstantinos konstantios,Konstantinos Konstantios,4,5.75,1.335
vangelis lathyris,Vangelis Lathyris,4,5.25,1.219
anders eriksen,Anders Eriksen,4,1.0,0.232
dmitri matveev,Dmitri Matveev,4,5.5,1.277
jaafar aafouallah,Jaafar Aafouallah,4,3.5,0.812
kateryna usova,Kateryna Usova,4,6.25,1.451
sergiy podrygulya,Sergiy Podrygulya,4,4.25,0.986
vasilios chorozoglou,Vasilios Chorozoglou,4,5.25,1.219
athanasios boutsikos,Athanasios Boutsikos,4,2.75,0.638
valeriy romanov,Valeriy Romanov,4,4.25,0.986
maksim kaplin,Maksim Kaplin,4,5.75,1.335
luis bestard servera,Luis Bestard Servera,4,4.5,1.045
abdulrahman ibrahim al jassim,Abdulrahman Ibrahim Al-Jassim,4,5.25,1.219
sergey sergeev,Sergey Sergeev,4,5.0,1.161
anatoly sharovatov,Anatoly Sharovatov,4,5.25,1.219
gerbert stegeman,Gerbert Stegeman,4,5.25,1.219
shona shukrula,Shona Shukrula,4,4.25,0.986
luc tissingh,Luc Tissingh,4,1.75,0.406
vitaliy doroshenko,Vitaliy Doroshenko,4,6.25,1.451
nicolas winter,Nicolas Winter,4,1.5,0.348
ivan salash,Ivan Salash,4,3.5,0.812
chris gentles,Chris Gentles,4,4.75,1.103
keiran trayner,Keiran Trayner,4,2.75,0.638
esteban ostojich,Esteban Ostojich,4,3.5,0.812
irakli kvirikashvili,Irakli Kvirikashvili,4,5.25,1.219
amin kurgkheli,Amin Kurgkheli,4,3.75,0.87
dr. robin braun,Dr. Robin Braun,4,5.5,1.277
vage chichilyan,Vage Chichilyan,4,4.75,1.103
andrey strelkov,Andrey Strelkov,4,5.5,1.277
danil kashirin,Danil Kashirin,4,3.5,0.812
aleksandr anufriev,Aleksandr Anufriev,4,2.25,0.522
stepan lapko,Stepan Lapko,4,5.75,1.335
armando ramo andres,Armando Ramo Andrés,4,4.75,1.103
iman huseen umar,Iman Huseen Umar,4,3.25,0.754
bruno costa,Bruno Costa,4,5.75,1.335
vladimir falov,Vladimir Falov,4,3.5,0.812
artem kharin,Artem Kharin,4,3.0,0.696
gorka etayo herrera,Gorka Etayo Herrera,4,3.75,0.87
ahmad al ali kuw,Ahmad Al-Ali KUW,4,3.75,0.87
johan hendrik ellefsen,Jóhan Hendrik Ellefsen,4,5.25,1.219
mervan bejtullahu,Mervan Bejtullahu,4,4.75,1.103
karl nielsen,Karl Nielsen,4,3.0,0.696
sergiy dubykivskyi,Sergiy Dubykivskyi,4,6.25,1.451
daniel drost,Daniel Drost,4,5.75,1.335
oscar van hoof,Oscar van Hoof,4,4.0,0.928
cameron stirling,Cameron Stirling,4,1.5,0.348
stephen parkinson,Stephen Parkinson,4,3.25,0.754
ben atkinson,Ben Atkinson,4,5.0,1.161
aaron bannister,Aaron Bannister,4,6.25,1.451
cristian garay,Cristián Garay,4,2.0,0.464
jean jacques ndala ngambo,Jean-Jacques Ndala Ngambo,4,4.75,1.103
florjan lata,Florjan Lata,4,5.5,1.277
gal leibovich,Gal Leibovich,4,5.0,1.161
bence csonka,Bence Csonka,4,5.0,1.161
ben mcmaster,Ben McMaster,4,6.0,1.393
filip kotala,Filip Kotala,4,6.25,1.451
tomasz marciniak,Tomasz Marciniak,4,5.0,1.161
andrea zanotti,Andrea Zanotti,4,2.75,0.638
evgeniy timofeev,Evgeniy Timofeev,4,3.0,0.696
robert avram,Robert Avram,4,5.75,1.335
iuliana demetrescu,Iuliana Demetrescu,4,3.5,0.812
ovidiu robu,Ovidiu Robu,4,6.25,1.451
goncalo neves,Gonçalo Neves,4,4.0,0.928
lewis hogarth,Lewis Hogarth,4,5.75,1.335
matvey zaika,Matvey Zaika,4,3.75,0.87
vladimir sivkov,Vladimir Sivkov,4,0.5,0.116
mario perri,Mario Perri,4,2.5,0.58
daniel cook,Daniel Cook,4,2.0,0.464
declan woods,Declan Woods,4,2.25,0.522
koen molenaar,Koen Molenaar,4,3.75,0.87
teun van pelt,Teun van Pelt,4,5.5,1.277
carlos muniz munoz,Carlos Muñiz Muñoz,4,5.0,1.161
issa sy,Issa Sy,4,4.5,1.045
yuri elino ferreira da cruz,Yuri Elino Ferreira da Cruz,4,4.25,0.986
markus greinecker,Markus Greinecker,4,5.0,1.161
luis gracia benitez,Luis Gracia Benitez,4,6.25,1.451
mischa kellerhals,Mischa Kellerhals,4,3.0,0.696
jorgen haugen,Jörgen Haugen,4,3.75,0.87
hyun jai choi,Hyun-jai Choi,4,3.5,0.812
carlos batres,Carlos Batrés,3,4.667,1.083
dr. markus merk,Dr. Markus Merk,3,5.667,1.315
markus wingenbach,Markus Wingenbach,3,6.333,1.47
bosko jovanetic,Boško Jovanetic,3,3.333,0.774
elmir pilav,Elmir Pilav,3,4.0,0.928
milenko vukadinovic,Milenko Vukadinovic,3,4.333,1.006
adam nemeth,Ádám Németh,3,2.667,0.619
chris reisch,Chris Reisch,3,4.333,1.006
ioannis anastasiou,Ioannis Anastasiou,3,5.0,1.161
roman bokhnyak,Roman Bokhnyak,3,4.333,1.006
mark whitby,Mark Whitby,3,5.667,1.315
damir batinic,Damir Batinic,3,4.667,1.083
eiko saar,Eiko Saar,3,6.333,1.47
cyril zimmermann,Cyril Zimmermann,3,1.667,0.387
jorge gonzalez,Jorge Gonzalez,3,3.667,0.851
francesco borriello,Francesco Borriello,3,2.667,0.619
luigi rossi,Luigi Rossi,3,2.333,0.542
oscar herrero arenas,Óscar Herrero Arenas,3,7.333,1.702
antonio santos pargana,Antonio Santos Pargaña,3,4.667,1.083
gustavo rebollo lopez,Gustavo Rebollo López,3,5.667,1.315
jose luis lesma lopez,José Luis Lesma López,3,6.0,1.393
rutger bekebrede,Rutger Bekebrede,3,2.667,0.619
rogier honig,Rogier Honig,3,3.667,0.851
michael taylor,Michael Taylor,3,3.0,0.696
francisco javier fernandez vidal,Francisco Javier Fernández Vidal,3,7.0,1.625
sergiy skyrda,Sergiy Skyrda,3,4.0,0.928
vyacheslav popov,Vyacheslav Popov,3,5.0,1.161
vladimir rogulev,Vladimir Rogulev,3,2.667,0.619
paul robertson,Paul Robertson,3,4.333,1.006
alexandros ioannidis,Alexandros Ioannidis,3,5.667,1.315
victor rives leal,Víctor Rives Leal,3,6.0,1.393
darren sheldrake,Darren Sheldrake,3,4.0,0.928
vasilios panagiotopoulos,Vasilios Panagiotopoulos,3,2.0,0.464
nikolaos papageorgiou,Nikolaos Papageorgiou,3,3.0,0.696
georgios kounalakis,Georgios Kounalakis,3,6.667,1.547
vitaliy dyadenko,Vitaliy Dyadenko,3,5.0,1.161
dmytro kononov,Dmytro Kononov,3,5.333,1.238
bob grilis,Bob Grilis,3,3.0,0.696
carlos espadinha,Carlos Espadinha,3,4.333,1.006
daniel cardoso,Daniel Cardoso,3,4.667,1.083
tommy shaw,Tommy Shaw,3,5.667,1.315
ivan gonzalez gonzalez,Iván González González,3,7.333,1.702
luis collado lopez,Luis Collado López,3,8.333,1.934
carlos sanchez laso,Carlos Sánchez Laso,3,7.0,1.625
oscar sauleda torrent,Óscar Sauleda Torrent,3,8.0,1.857
benjamin leander,Benjamin Leander,3,3.0,0.696
simon bennett,Simon Bennett,3,2.0,0.464
sandro ricci,Sandro Ricci,3,1.667,0.387
noumandiez doue,Noumandiez Doué,3,3.667,0.851
enrique osses,Enrique Osses,3,2.333,0.542
colin prooi,Colin Prooi,3,1.667,0.387
murat ozcan,Murat Özcan,3,3.0,0.696
vincenzo fiorini,Vincenzo Fiorini,3,5.667,1.315
giosue mauro d'apice,Giosuè Mauro D'apice,3,3.333,0.774
steven van der vrande,Steven van der Vrande,3,4.333,1.006
jorge diaz escudero,Jorge Díaz Escudero,3,7.667,1.78
konstantinos antoniou,Konstantinos Antoniou,3,4.667,1.083
roman kalyta,Roman Kalyta,3,3.667,0.851
frank van den elzen,Frank van den Elzen,3,1.333,0.309
michael v. jensen,Michael V. Jensen,3,1.667,0.387
alvaro lopez parra,Álvaro López Parra,3,7.333,1.702
aleksandr ksenafontov,Aleksandr Ksenafontov,3,2.0,0.464
vitali chumeyko,Vitali Chumeyko,3,4.0,0.928
ilia trishin,Ilia Trishin,3,5.0,1.161
evgeni kudryashov,Evgeni Kudryashov,3,6.667,1.547
miguel bosch domenech,Miguel Bosch Domenech,3,3.667,0.851
spyros stathopoulos,Spyros Stathopoulos,3,4.333,1.006
dr. riem hussein,Dr. Riem Hussein,3,4.0,0.928
lasse koslowski,Lasse Koslowski,3,4.0,0.928
benedikt kempkes,Benedikt Kempkes,3,4.333,1.006
martin lundby,Martin Lundby,3,3.667,0.851
ilya parfentjev,Ilya Parfentjev,3,8.0,1.857
david recio moreno,David Recio Moreno,3,6.667,1.547
gennadi anoshin,Gennadi Anoshin,3,5.333,1.238
juan antonio campos salinas,Juan Antonio Campos Salinas,3,8.0,1.857
jeronimo montes garcia navas,Jerónimo Montes García-Navas,3,6.333,1.47
charalampos sotiriadis,Charalampos Sotiriadis,3,6.0,1.393
pieter van der pol,Pieter van der Pol,3,6.333,1.47
stef veekamp,Stef Veekamp,3,4.0,0.928
enrique caceres,Enrique Cáceres,3,3.333,0.774
stefan apostolov,Stefan Apostolov,3,4.333,1.006
furkat atazhanov,Furkat Atazhanov,3,7.0,1.625
