ref_norm,referee,club_games,club_cpg,club_ratio
miguel angel ortiz arias,Miguel Ángel Ortiz Arias,116,4.319,1.002
wolfgang stark,Wolfgang Stark,115,4.496,1.043
federico la penna,Federico La Penna,115,4.548,1.056
siemen mulder,Siemen Mulder,115,3.278,0.761
mikkel redder,Mikkel Redder,115,3.939,0.914
benjamin brand,Benjamin Brand,114,3.947,0.916
martin petersen,Martin Petersen,114,4.14,0.961
nicolas rainville,Nicolas Rainville,114,3.904,0.906
robert schroder,Robert Schröder,114,4.219,0.979
vasilios fotias,Vasilios Fotias,114,4.728,1.097
lee probert,Lee Probert,112,2.812,0.653
slavko vincic,Slavko Vincic,112,4.304,0.999
ozgur yankaya,Özgür Yankaya,112,5.018,1.165
athanasios tzilos,Athanasios Tzilos,112,5.0,1.161
zorbay kucuk,Zorbay Küçük,112,5.045,1.171
claudio pereira,Cláudio Pereira,112,4.938,1.146
bart vertenten,Bart Vertenten,111,4.108,0.954
jakob sundberg,Jakob Sundberg,111,4.577,1.062
simone sozza,Simone Sozza,110,4.273,0.992
rob dieperink,Rob Dieperink,109,3.101,0.72
nacho iglesias villanueva,Nacho Iglesias Villanueva,109,5.697,1.322
roger east,Roger East,108,3.333,0.774
igor paskhal,Igor Paskhal,108,5.741,1.332
patrick ittrich,Patrick Ittrich,108,4.157,0.965
john brooks,John Brooks,106,4.236,0.983
aristotelis diamantopoulos,Aristotelis Diamantopoulos,105,4.771,1.108
evgeni turbin,Evgeni Turbin,104,5.029,1.167
oleksandr derdo,Oleksandr Derdo,104,4.827,1.12
artem chistyakov,Artem Chistyakov,103,3.757,0.872
florian badstubner,Florian Badstübner,103,3.573,0.829
florent batta,Florent Batta,103,3.379,0.784
wesli de cremer,Wesli De Cremer,103,3.854,0.895
jarred gillett,Jarred Gillett,102,3.833,0.89
yuriy mozharovskyi,Yuriy Mozharovskyi,101,4.574,1.062
bartolomeu varela,Bartolomeu Varela,100,3.87,0.898
viktor kopiyevskyi,Viktor Kopiyevskyi,100,5.21,1.209
abdulkadir bitigen,Abdulkadir Bitigen,100,5.02,1.165
aydin uslu,Aydin Uslu,100,2.97,0.689
bastien dechepy,Bastien Dechepy,100,4.05,0.94
volkan bayarslan,Volkan Bayarslan,99,3.899,0.905
aleksandr egorov,Aleksandr Egorov,98,4.031,0.936
bulent yldrm,Bülent Yıldırım,98,5.439,1.262
marco piccinini,Marco Piccinini,98,4.265,0.99
ivan kruzliak,Ivan Kruzliak,97,5.237,1.216
marc nagtegaal,Marc Nagtegaal,97,2.639,0.613
pawel raczkowski,Pawel Raczkowski,96,5.083,1.18
sandro scharer,Sandro Schärer,95,4.368,1.014
david dickinson,David Dickinson,94,4.426,1.027
benjamin cortus,Benjamin Cortus,93,3.785,0.879
karim abed,Karim Abed,93,3.731,0.866
serge gumienny,Serge Gumienny,92,4.402,1.022
jorge figueroa vazquez,Jorge Figueroa Vázquez,92,4.489,1.042
howard webb,Howard Webb,91,3.769,0.875
carmine russo,Carmine Russo,91,4.165,0.967
juan luca sacchi,Juan Luca Sacchi,91,3.967,0.921
